"Allele","Ear","Quad_pval","Lin_inc_pval","Lin_dec_pval","B0","B1","B2","Coord_start","Coord_end"
"R46C04","Y43-5x1_inference.xml",0.570992122278376,0.147208752289329,0.852791247710671,-0.162272312240702,-5.8372741088829e-05,1.94445759103946e-07,133,1848
"R49F11","A19-1x102_inference.xml",0.720914088497187,0.795039475290557,0.204960524709443,0.229373035333409,-0.000129294320172959,-5.7723254604045e-08,172,1694
"R49F11","X490-1x402_inference.xml",0.777213123636306,0.524001724272881,0.475998275727119,-0.488527870307997,0.00134798606881092,-7.16566152188674e-07,270,1840
"R49F11","X490-3x402_inference.xml",0.573382365181765,0.157351954502174,0.842648045497826,-0.113145461014684,-0.0004314232237121,4.49828807245949e-07,256,1640
"R49F11","X490-5x402_inference.xml",0.694362335848757,0.715099631370043,0.284900368629957,0.348250927493782,-0.000770208563931834,3.5343771688054e-07,167,1824
"R49F11","Y69-1x1_inference.xml",0.893743308453654,0.47967837475304,0.52032162524696,0.359955674388136,-0.000503849301860989,2.80928724062345e-07,132,1812
"R49F11","Y69-3x1_inference.xml",0.120975973982374,0.851405362246649,0.148594637753351,-0.884953861970311,0.00283205191915398,-1.73774714607343e-06,157,1794
"R49F11","Y69-4x1_inference.xml",0.466160232714536,0.707852100734613,0.292147899265387,0.465131174236681,-0.00148543132719103,7.44003407148897e-07,112,1815
"R49F11","Y69-5x1_inference.xml",0.415963260399343,0.897708852852664,0.102291147147336,0.155254985654626,0.000252123104285105,-3.17069224755811e-07,142,1811
"R49F11","Y69-6x1_inference.xml",0.947323254441151,0.383234922856272,0.616765077143728,0.0308549889989909,-0.000109468100190999,9.54216272568583e-08,132,1824
"R52B09","A20-4x102_inference.xml",0.01010791553155,0.863770700452675,0.136229299547325,1.36489640398815,-0.00294978597815477,1.50859611108035e-06,114,1770
"R52B09","A20-5x102_inference.xml",0.541130914861843,0.183138927416671,0.816861072583329,0.28641320508876,-0.000525777280316389,4.16461427962274e-07,102,1801
"R52B09","A20x102_inference.xml",0.972528272004897,0.521042439625785,0.478957560374215,0.164070835784859,-0.000364983469764098,2.02138024574289e-07,136,1708
"R52B09","Y53-1x1_inference.xml",0.135898985592919,0.620131901107866,0.379868098892134,0.996375128124763,-0.00234907073451327,1.20956364620726e-06,158,1828
"R52B09","Y53-2x1_inference.xml",0.303817909155606,0.94159906206449,0.0584009379355101,0.494284588350741,-0.000496450749918173,8.39179393354141e-08,150,1832
"R52B09","Y53-3x1_inference.xml",0.0155849693788196,0.170178431094635,0.829821568905365,0.94492806442753,-0.00297216706000924,1.71406771050804e-06,170,1824
"R52B09","Y53-4x1_inference.xml",0.424558539654236,0.898119945898542,0.101880054101458,0.212080073585035,-0.000756954040436086,2.65689147604563e-07,122,1716
"R52B09","Y53-5x1_inference.xml",0.303063816575608,0.680542865091783,0.319457134908217,-0.443355228770512,0.00149260815937554,-8.53982912689594e-07,134,1838
"R52B09","Y53-6x1_inference.xml",0.585002587550692,0.165213454844351,0.834786545155649,-0.0512400064285798,-0.000292072933739331,2.97790825561959e-07,154,1840
"R52E07","X450-1x402_inference.xml",0.51196299954361,0.122803431930644,0.877196568069356,-0.0483665193083662,-1.33944439070882e-06,4.61062345966703e-07,230,1367
"R52E07","X450-2x402_inference.xml",0.655422906037927,0.21071718386462,0.78928281613538,-0.212071715383463,-0.000573609434309199,7.82003069716995e-07,72,1200
"R52E07","Y51-1x1_inference.xml",0.503201975367963,0.319701652837039,0.680298347162961,0.365179653636054,-0.00096842321034365,6.17276491238423e-07,72,1808
"R52E07","Y51-2x1_inference.xml",0.438720264944154,0.864373744893694,0.135626255106306,-0.165249988488271,0.000887102188790755,-6.91772348732068e-07,234,1721
"R52E07","Y51-4x1_inference.xml",0.750766598681288,0.777743423953126,0.222256576046874,0.244617458934735,-5.48427559064022e-05,-8.85260639342212e-08,126,1796
"R52E07","Y51-6x1_inference.xml",0.543988222865246,0.192398825257465,0.807601174742535,-0.518050054246548,0.000820638865095566,-3.59946156183257e-07,76,1830
"R52E07","Y52-1x1_inference.xml",0.762492430568075,0.740045189785144,0.259954810214856,0.164428447953029,-0.000510335283973751,2.10638154250779e-07,104,1808
"R52E07","Y52-2x1_inference.xml",0.378795714871453,0.388327215616398,0.611672784383602,-0.517610656775529,0.00139500353048489,-7.51614364419784e-07,76,1795
